seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	894549	894660	112	*	X00002	26155	879583	894679	15097	-	0	inside	18	NOC2L
chr1	894549	894660	112	*	X00002	339451	895967	901099	5133	+	1306	upstream	1306	KLHL17
chr1	955131	955152	22	*	X00003	375790	955503	991499	35997	+	350	upstream	350	AGRN
chr1	1167214	1167413	200	*	X00004	126792	1167629	1170420	2792	+	215	upstream	215	B3GALT6
chr1	1167214	1167413	200	*	X00004	51150	1152288	1167447	15160	-	0	inside	33	SDF4
chr1	1167865	1168111	247	*	X00005	126792	1167629	1170420	2792	+	0	inside	235	B3GALT6
chr1	1167865	1168111	247	*	X00005	51150	1152288	1167447	15160	-	417	upstream	417	SDF4
chr1	1209175	1209279	105	*	X00006	118424	1189292	1209234	19943	-	0	overlapStart	0	UBE2J2
chr1	1243366	1243379	14	*	X00007	126789	1243994	1247057	3064	+	614	upstream	614	PUSL1
chr1	1243682	1243826	145	*	X00008	126789	1243994	1247057	3064	+	167	upstream	167	PUSL1
chr1	1244005	1244153	149	*	X00009	126789	1243994	1247057	3064	+	0	inside	10	PUSL1
chr1	1310439	1310633	195	*	X00010	54998	1309110	1310818	1709	-	0	inside	184	AURKAIP1
chr1	1310964	1311003	40	*	X00011	54998	1309110	1310818	1709	-	145	upstream	145	AURKAIP1
chr1	1342495	1342817	323	*	X00012	55052	1337276	1342693	5418	-	0	overlapStart	0	MRPL20
chr1	1407047	1407326	280	*	X00013	83858	1407164	1444689	37526	+	0	overlapStart	0	ATAD3B
chr1	1407339	1407368	30	*	X00014	83858	1407164	1444689	37526	+	0	inside	174	ATAD3B
chr1	1447457	1447475	19	*	X00015	55210	1447523	1470067	22545	+	47	upstream	47	ATAD3A
chr1	1447659	1447689	31	*	X00016	55210	1447523	1470067	22545	+	0	inside	135	ATAD3A
chr1	1447707	1447735	29	*	X00017	55210	1447523	1470067	22545	+	0	inside	183	ATAD3A
chr1	1510248	1510398	151	*	X00018	29101	1477053	1510262	33210	-	0	overlapStart	0	SSU72
chr1	1535112	1535219	108	*	X00020	643988	1533388	1535476	2089	-	0	inside	256	FNDC10
chr1	1655747	1655857	111	*	X00027	728642	1634170	1655791	21622	-	0	overlapStart	0	CDK11A
chr1	1655747	1655857	111	*	X00027	984	1571100	1655775	84676	-	0	overlapStart	0	CDK11B
chr1	1655889	1655926	38	*	X00028	728642	1634170	1655791	21622	-	97	upstream	97	CDK11A
chr1	1655889	1655926	38	*	X00028	984	1571100	1655775	84676	-	113	upstream	113	CDK11B
chr1	1656077	1656101	25	*	X00029	728642	1634170	1655791	21622	-	285	upstream	285	CDK11A
chr1	1656077	1656101	25	*	X00029	984	1571100	1655775	84676	-	301	upstream	301	CDK11B
chr1	1677489	1677881	393	*	X00030	728661	1590988	1677438	86451	-	50	upstream	50	SLC35E2B
chr1	1677489	1677881	393	*	X00030	9906	1656277	1677438	21162	-	50	upstream	50	SLC35E2A
chr1	1822456	1822705	250	*	X00031	2782	1716725	1822526	105802	-	0	overlapStart	0	GNB1
chr1	1982176	1982190	15	*	X00032	5590	1981909	2116834	134926	+	0	inside	266	PRKCZ
chr1	3712899	3712929	31	*	X00035	57470	3696784	3713068	16285	-	0	inside	138	LRRC47
chr1	3712990	3713156	167	*	X00036	57470	3696784	3713068	16285	-	0	overlapStart	0	LRRC47
chr1	3713241	3713250	10	*	X00037	57470	3696784	3713068	16285	-	172	upstream	172	LRRC47
chr1	3773670	3773703	34	*	X00038	1677	3773845	3801993	28149	+	141	upstream	141	DFFB
chr1	3773670	3773703	34	*	X00038	9731	3728645	3773797	45153	-	0	inside	93	CEP104
chr1	3816677	3816812	136	*	X00039	100133612	3816968	3833879	16912	+	155	upstream	155	LINC01134
chr1	3816677	3816812	136	*	X00039	339448	3805697	3816857	11161	-	0	inside	44	C1orf174
chr1	3817362	3817396	35	*	X00040	339448	3805697	3816857	11161	-	504	upstream	504	C1orf174
chr1	3817414	3817428	15	*	X00041	339448	3805697	3816857	11161	-	556	upstream	556	C1orf174
chr1	6052991	6053012	22	*	X00042	261734	5922870	6052533	129664	-	457	upstream	457	NPHP4
